fid	selected	turnout_cov	margin_cov	share_cov	turnout	margin	share	totalpvotes08	totalcvotes06	totalcvotes08	totalcvotes10	totalcvotes12	npvote08	nvote06	nvote08	nvote10	npvote12	nvote12	pvote12	pvote08	dvote06	dvote08	dvote10	dvote12	study	include	probs.1.1	probs.1.0	probs.0.1	probs.0.0	condition_factor	i	weights	condition	numberofspillovers	treatable	Z.obs
80	0	146	36	0.625	273	53	0.606425702811245	813	167	790	146	273	335	11	283	36	108	53	0.677655677655678	0.706027060270603	0.533333333333333	0.701280227596017	0.625	0.606425702811245	"Experiment 1"	0.0	0.0	0.0	0.0	1.0	"Control"	93	1.0	4.0	0.0	0.0	0.0
81	0	448	93	0.606407322654462	670	-18	0.485804416403785	1214	525	1184	448	670	270	132	275	93	196	-18	0.634182908545727	0.611202635914333	0.625954198473282	0.627906976744186	0.606407322654462	0.485804416403785	"Experiment 1"	1.0	0.0	0.2094	0.6244	0.1662	"Adjacent"	93	1.60153747597694	3.0	1.0	1.0	0.0
82	0	132	51	0.700787401574803	532	107	0.623556581986143	1220	151	1189	132	532	576	70	400	51	222	107	0.694915254237288	0.736065573770492	0.727272727272727	0.704081632653061	0.700787401574803	0.623556581986143	"Experiment 1"	0.0	0.0	0.0	0.3752	0.6248	"Adjacent"	93	2.66524520255864	3.0	2.0	0.0	0.0
83	1	177	25	0.573099415204678	334	-30	0.449324324324324	812	260	786	177	334	214	34	167	25	58	-30	0.574018126888218	0.631773399014778	0.568548387096774	0.622254758418741	0.573099415204678	0.449324324324324	"Experiment 1"	1.0	0.0	0.2346	0.5263	0.2391	"Treated"	93	4.26257459505541	2.0	0.0	1.0	1.0
84	0	268	49	0.59919028340081	415	13	0.517241379310345	869	279	863	268	415	237	104	237	49	122	13	0.637469586374696	0.636363636363636	0.685714285714286	0.659919028340081	0.59919028340081	0.517241379310345	"Experiment 1"	1.0	0.0	0.1614	0.5567	0.2819	"Control"	93	3.54735721887194	4.0	0.0	1.0	0.0
85	0	174	20	0.558823529411765	267	3	0.506224066390041	740	204	713	174	267	322	24	253	20	81	3	0.633962264150943	0.717567567567568	0.557692307692308	0.712605042016807	0.558823529411765	0.506224066390041	"Experiment 1"	0.0	0.0	0.0	0.2868	0.7132	"Adjacent"	93	3.48675034867503	3.0	1.0	0.0	0.0
86	1	51	3	0.530612244897959	286	34	0.593406593406593	740	75	713	51	286	322	25	253	3	120	34	0.699300699300699	0.717567567567568	0.681159420289855	0.712605042016807	0.530612244897959	0.593406593406593	"Experiment 1"	1.0	0.0	0.2868	0.1645	0.5487	"Treated"	93	3.48675034867503	2.0	0.0	1.0	1.0
87	0	256	77	0.661087866108787	348	14	0.521739130434783	812	296	786	256	348	214	83	167	77	129	14	0.674418604651163	0.631773399014778	0.642611683848797	0.622254758418741	0.661087866108787	0.521739130434783	"Experiment 1"	1.0	0.0	0.3048	0.2804	0.4148	"Control"	93	2.41080038572806	4.0	0.0	1.0	0.0
88	0	153	31	0.604026845637584	386	65	0.594202898550725	763	168	716	153	386	247	20	162	31	133	65	0.659685863874346	0.661861074705111	0.558139534883721	0.627760252365931	0.604026845637584	0.594202898550725	"Experiment 1"	1.0	0.0	0.1645	0.6315	0.204	"Adjacent"	93	1.58353127474268	3.0	1.0	1.0	0.0
89	0	188	20	0.554945054945055	322	-7	0.487972508591065	869	254	863	188	322	237	56	237	20	63	-7	0.588050314465409	0.636363636363636	0.612903225806452	0.659919028340081	0.554945054945055	0.487972508591065	"Experiment 1"	1.0	0.0	0.2927	0.2812	0.4261	"Control"	93	2.34686693264492	4.0	0.0	1.0	0.0
90	0	281	55	0.602996254681648	486	14	0.515765765765766	896	318	857	281	486	216	53	210	55	160	14	0.649484536082474	0.620535714285714	0.582554517133956	0.630922693266833	0.602996254681648	0.515765765765766	"Experiment 1"	1.0	0.0	0.2865	0.3911	0.3224	"Control"	93	3.10173697270471	4.0	0.0	1.0	0.0
91	0	337	10	0.515243902439024	516	-40	0.457983193277311	1214	398	1184	337	516	270	-4	275	10	66	-40	0.55078125	0.611202635914333	0.495	0.627906976744186	0.515243902439024	0.457983193277311	"Experiment 1"	1.0	0.0	0.2728	0.4909	0.2363	"Control"	93	4.23190859077444	4.0	0.0	1.0	0.0
92	0	246	62	0.629166666666667	353	-30	0.45398773006135	896	259	857	246	353	216	10	210	62	48	-30	0.560906515580737	0.620535714285714	0.518518518518518	0.630922693266833	0.629166666666667	0.45398773006135	"Experiment 1"	1.0	0.0	0.2802	0.4479	0.2719	"Control"	93	3.67782272894447	4.0	0.0	1.0	0.0
